gender,birthyear,Province,news_canada_1,news_canada_2,news_canada_3,news_canada_4,news_canada_6,news_canada_7,news_canada_8,news_canada_9,news_canada_10,news_canada_11,news_canada_12,news_canada_13,news_canada_14,news_canada_15,news_canada_16,news_canada_17,news_canada_18,news_canada_19,news_canada_20,news_canada_21,news_canada_22,news_canada_23,news_canada_24,news_canada_25,news_canada_26,news_canada_27,news_canada_28,news_canada_29,news_trust_1,news_trust_2,news_trust_3,news_trust_4,news_trust_5,news_trust_6,news_trust_7,news_trust_8,news_trust_9,news_trust_10,news_trust_11,news_trust_12,news_trust_13,news_trust_14,news_trust_15,news_trust_16,news_trust_17,news_trust_18,news_trust_19,news_trust_20,news_trust_21,news_trust_22,news_trust_23,news_trust_24,news_trust_25,news_trust_26,news_trust_27,news_trust_28,Q118_1,Q118_2,Q118_3,Q118_4,Q118_5,Q118_6,Q118_7,Q118_8,Q118_9,Q118_10,Q118_11,Q118_12,Q118_13,Q118_14,Q118_15,Q118_16,Q118_17,Q118_18,Q118_19,Q118_20,Q118_21,Q118_22,Q118_23,Q118_24,Q118_25,Q118_26,Q118_27,Q118_28,whenready_1,whenready_2,whenready_3,whenready_4,whenready_5,whenready_6,whenready_7,whenready_8,whenready_9,whenready_10,Q113,Q92,Q90,Q108,Q108_7_TEXT,Q104,Q104_19_TEXT,Q104_20_TEXT,Q88,Q98,Q96_1,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q96_10,Q96_11,Q96_12,Q96_13,Q96_14,Q96_15,Q96_16,Q96_17,Q96_17_TEXT,Q100,Q100_6_TEXT,Q117.1,Q102,Q110,Q112
Female,1995,Ontario,CTV News,,0,MacLeans,0,,,Toronto Star,,,,,,,,,,,,,,Fox News,,0,,,,,Yes,,,Yes,,,,Yes,,,,,,,,,,,,,,No,,,,,,,None/Impartial,,,None/Impartial,,,,None/Impartial,,,,,,,,,,,,,,Right-leaning,,,,,,,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		In more than 6 months","		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again",Middle class,"University certificate, diploma or degree above bachelor level","$100,000 to $150,000",Employed full-time,-99,Education or Social Services,-99,-99,No,Canada,"North America, i.e. First Nations, Inuit, Métis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Financially stable,Common-law,Liberal Party led by Justin Trudeau ,The New Democratic Party led by Andrea Horwath
Male,1975,Ontario,CTV News,The CBC,,0,0,,,0,,,,,,,,,,,,,CNN,,0,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,No,,,,,,,,Right-leaning,Right-leaning,,,,,,,,,,,,,,,,,,,None/Impartial,,,,,,,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",I am already ready or doing it ,"		In more than 6 months","		In 3-6 months","		In 3-6 months","		In more than 6 months","		In more than 6 months",Working class,Bachelor’s degree,"$50,000 to $75,000",Employed full-time,-99,Computers & Technology,-99,-99,Yes,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Getting ahead with some savings,Married,Liberal Party led by Justin Trudeau ,The Progressive Conservative Party led by Doug Ford
Male,1966,Ontario,CTV News,,0,MacLeans,0,,,Toronto Star,,,,,,,,,,,,,,,,0,0,,,,Yes,,,Not sure,,,,Yes,,,,,,,,,,,,,,,,,,,,,-99,,,-99,,,,-99,,,,,,,,,,,,,,,,,,,,,Not applicable for me,Not applicable for me,Not applicable for me,Not applicable for me,I am already ready or doing it ,Not applicable for me,"		In more than 6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months",Middle class,"No certificate, diploma or degree","Under $25,000",Self-employed,-99,"Trade-work, please specify:",laborer/freelance,-99,No,Another country,"North America, i.e. First Nations, Inuit, Métis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Falling behind,Common-law,I did not vote,I did not vote
Male,1967,Quebec,CTV News,,,0,,The Globe and Mail ,The National Post,,,,,,,,,,,La Presse,Le Devoir,Le Journal de Montreal / Le Journal de Quabec,,,,,,The Wall Street Journal,The Huffington Post,,Not sure,,,,,Not sure,Not sure,,,,,,,,,,,Not sure,Not sure,Not sure,,,,,,Not sure,Not sure,,None/Impartial,,,,,None/Impartial,None/Impartial,,,,,,,,,,,None/Impartial,None/Impartial,None/Impartial,,,,,,None/Impartial,None/Impartial,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,I am already ready or doing it ,"		In 1-3 months","		When a vaccine will be ready or the virus will have disappeared","		In more than 6 months",I am already ready or doing it ,Middle class,"College, CEGEP or other non-university certificate or diploma","$25,000 to $50,000",Employed part-time,-99,Education or Social Services,-99,-99,No,Canada,"North America, i.e. First Nations, Inuit, Métis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,French,-99,Financially stable,Single,Liberal Party led by Justin Trudeau ,
Female,1953,Ontario,CTV News,The CBC,0,0,,,,0,,,,,,,,,,,,,,Fox News,,,,,0,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,-99,,,,,,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Lower middle class,Bachelor’s degree,"$25,000 to $50,000",Retired,-99,,,,No,Another country,0,0,0,0,Caribbean ,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Just getting by,Divorced,Liberal Party led by Justin Trudeau ,The Progressive Conservative Party led by Doug Ford
Female,1954,Alberta,CTV News,,,MacLeans,,,0,0,0,,,0,,,,,,,,,,,,0,,,0,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Centrist,,,Centrist,,,,,,,,,,,,,,,,,,,,,,,,,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Lower middle class,"University certificate, diploma or degree above bachelor level","$25,000 to $50,000",Retired,-99,,,,Yes,Another country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other:,British ,English,-99,Falling behind,Divorced,Conservative Party led by Andrew Scheer,
Male,1941,Newfoundland,,The CBC,0,0,The Canadian Public Affairs Channel,,,,,,,,,,Evening Telegram,,,,,,,,0,,,The Wall Street Journal,,,,No,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,-99,,,-99,,,,,,,,,,-99,,,,,,,,,,,-99,,,Not applicable for me,Not applicable for me,Not applicable for me,Not applicable for me,I am already ready or doing it ,Not applicable for me,I am already ready or doing it ,Not applicable for me,Not applicable for me,Not applicable for me,Poor class,Secondary (high) school diploma or equivalency certificate,"$25,000 to $50,000",Retired,-99,,,,No,Canada,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,English,-99,Just getting by,Married,NDP led by Jagmeet Singh,
Female,1955,Ontario,,0,0,,,,The National Post,Toronto Star,,,,,,,,,,,,,0,,,,0,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrist,Centrist,,,,,,,,,,,,,,,,,,,,,Not applicable for me,"		I don't foresee a time when I will be ready to do it again","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again",Not applicable for me,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		When a vaccine will be ready or the virus will have disappeared",Middle class,Bachelor’s degree,"$25,000 to $50,000",Retired,-99,,,,No,Another country,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,Other:,Russian,Just getting by,Married,I did not vote,I did not vote
Female,1953,Quebec,,The CBC,0,,0,0,,,,,,,,,,,,La Presse,0,Le Journal de Montreal / Le Journal de Quabec,0,,,,,,0,,,Not sure,,,,,,,,,,,,,,,,Not sure,,Not sure,,,,,,,,,,-99,,,,,,,,,,,,,,,,-99,,-99,,,,,,,,,Not applicable for me,Not applicable for me,"		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again",I am already ready or doing it ,Not applicable for me,I am already ready or doing it ,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",Not applicable for me,Lower middle class,Secondary (high) school diploma or equivalency certificate,"$50,000 to $75,000",Retired,-99,,,,No,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,I don't know,0,-99,French,-99,Getting ahead with some savings,Married,Bloc Quebecois led by Yves-Francois Blanchet,
Female,1968,Ontario,CTV News,The CBC,,,0,,,0,,,,,,,,,,,,,,0,,,,0,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again",Upper middle class,"University certificate, diploma or degree above bachelor level","$100,000 to $150,000",Self-employed,-99,Management (non-government) or business,-99,-99,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Financially stable,Married,Liberal Party led by Justin Trudeau ,The Green Party led by Mike Schreiner
Male,1976,Ontario,,,,,0,0,0,Toronto Star,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrist,,,,,,,,,,,,,,,,,,,,,"		In more than 6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months","		In 3-6 months",I am already ready or doing it ,"		In 3-6 months","		In 3-6 months","		In more than 6 months","		In more than 6 months",Middle class,"College, CEGEP or other non-university certificate or diploma","$100,000 to $150,000",Employed part-time,-99,Oil and gas,-99,-99,No,Canada,0,0,0,0,0,0,0,0,0,0,South Asia,0,0,0,0,-99,English,-99,Getting ahead with some savings,Married,Liberal Party led by Justin Trudeau ,The Progressive Conservative Party led by Doug Ford
Female,1951,BC,,,0,,0,The Globe and Mail ,0,,,0,0,,,,,,,,,,,,,The Guardian,The Economist,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,Not sure,Not sure,,,,,,,,,-99,,,,,,,,,,,,,,,,,,-99,-99,,,,Not applicable for me,Not applicable for me,Not applicable for me,Not applicable for me,"		In more than 6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months",Not applicable for me,Middle class,"University certificate, diploma or degree above bachelor level","$25,000 to $50,000",Employed full-time,-99,Prefer not to say,-99,-99,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,Other:,Estonian,Getting ahead with some savings,Divorced,I did not vote,
Female,1983,PEI,,The CBC,0,,0,0,,,,,,,,,,,,,,,CNN,,,,,,0,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Centrist,,,,,,,,,,,,,,,,,,,Centrist,,,,,,,,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",I am already ready or doing it ,I am already ready or doing it ,I am already ready or doing it ,"		In more than 6 months","		In more than 6 months","		In more than 6 months",Middle class,"University certificate, diploma or degree above bachelor level","Under $25,000",Employed part-time,-99,Hospitality/Service industry,-99,-99,Yes,Another country,0,0,0,0,0,0,0,0,0,0,South Asia,0,0,0,0,-99,Other:,Punjabi ,Just getting by,Married,I did not vote,
Male,1975,Ontario,0,,,0,0,The Globe and Mail ,,0,,,,,,,,,,,,,,0,,,,The Wall Street Journal,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Right-leaning,,,,,,,,,,,,,,,,,,,,Right-leaning,,,"		In more than 6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months","		In 3-6 months","		In 3-6 months","		In 3-6 months","		In 3-6 months","		In more than 6 months","		In more than 6 months",Lower middle class,Bachelor’s degree,"$100,000 to $150,000",Employed full-time,-99,Healthcare,-99,-99,No,Another country,0,0,0,0,0,0,0,Chinese,0,0,0,0,0,0,0,-99,English,-99,Getting ahead with some savings,Married,Conservative Party led by Andrew Scheer,The Progressive Conservative Party led by Doug Ford
Female,1949,Quebec,0,,,0,,,0,0,,,,,,,,,,La Presse,0,Le Journal de Montreal / Le Journal de Quabec,,,0,0,,,,,,,,,,,,,,,,,,,,,,No,,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,-99,,-99,,,,,,,,,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Not applicable for me,"		In more than 6 months","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Middle class,"College, CEGEP or other non-university certificate or diploma","$25,000 to $50,000",Retired,-99,,,,No,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,I don't know,0,-99,French,-99,Financially stable,Divorced,Bloc Quebecois led by Yves-Francois Blanchet,
Male,1986,Ontario,,,0,MacLeans,0,,The National Post,Toronto Star,,,,,,,,,,,,,,,The New York Times,The Guardian,,,,,,,,Yes,,,Yes,Not sure,,,,,,,,,,,,,,,Yes,Not sure,,,,,,,,-99,,,Right-leaning,Right-leaning,,,,,,,,,,,,,,,-99,-99,,,,,"		In more than 6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months",I am already ready or doing it ,"		In 3-6 months","		In 3-6 months","		When a vaccine will be ready or the virus will have disappeared","		In more than 6 months",I am already ready or doing it ,Lower middle class,"College, CEGEP or other non-university certificate or diploma","$50,000 to $75,000",Employed full-time,-99,"Trade-work, please specify:",Belting,-99,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Just getting by,Single,Liberal Party led by Justin Trudeau ,The Progressive Conservative Party led by Doug Ford
Male,2000,Manitoba,CTV News,0,0,,,0,,,,,,,0,,,,,,,,,,0,,,,0,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,"		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		In 3-6 months","		I don't foresee a time when I will be ready to do it again","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again","		In 1-3 months","		In 1-3 months","		In more than 6 months",Middle class,"College, CEGEP or other non-university certificate or diploma","Under $25,000",Student,-99,,,,No,Canada,0,0,0,0,0,0,0,0,0,0,South Asia,0,0,0,0,-99,English,-99,Just getting by,Single,Liberal Party led by Justin Trudeau ,
Male,1956,BC,,,,0,0,The Globe and Mail ,,0,,0,0,,,,,,,,,,0,,,,The Economist,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,Left-leaning,,,,,,,,,,,,,,,,,,,Left-leaning,,,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,I am already ready or doing it ,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",Middle class,Bachelor’s degree,"$25,000 to $50,000",Employed full-time,-99,Management (non-government) or business,-99,-99,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Financially stable,Divorced,Conservative Party led by Andrew Scheer,
Female,1981,BC,CTV News,,,0,,,The National Post,0,,The Vancouver Sun,The Province,,,,,,,,,,,Fox News,,,,0,,,Yes,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,Yes,,,,,,,None/Impartial,,,,,,None/Impartial,,,None/Impartial,None/Impartial,,,,,,,,,,,None/Impartial,,,,,,,"		In more than 6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months","		In 3-6 months",I am already ready or doing it ,Not applicable for me,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Lower middle class,"No certificate, diploma or degree","$100,000 to $150,000",Other,Unemployed ,,,,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Just getting by,Married,Conservative Party led by Andrew Scheer,
Female,1993,Ontario,,The CBC,0,,,,The National Post,Toronto Star,,,,,,,,,,,,,,Fox News,,,,,The Huffington Post,,,Not sure,,,,,Not sure,Not sure,,,,,,,,,,,,,,Not sure,,,,,Not sure,,,None/Impartial,,,,,None/Impartial,None/Impartial,,,,,,,,,,,,,,None/Impartial,,,,,None/Impartial,,Not applicable for me,Not applicable for me,Not applicable for me,Not applicable for me,"		In 3-6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		In 1-3 months",Middle class,"College, CEGEP or other non-university certificate or diploma","$25,000 to $50,000",Employed full-time,-99,Prefer not to say,-99,-99,No,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other:,black,English,-99,Financially stable,Single,I did not vote,I did not vote
Female,1987,NewBrunswick,CTV News,The CBC,,MacLeans,,,,0,,,,,,,,The Daily Gleaner,,,,,,,,,The Economist,The Wall Street Journal,,,Yes,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,,,,Yes,Yes,,,Centrist,Left-leaning,,Left-leaning,,,,,,,,,,,,Right-leaning,,,,,,,,,Right-leaning,Right-leaning,,,"		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,I am already ready or doing it ,I am already ready or doing it ,"		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared",Not applicable for me,Lower middle class,Bachelor’s degree,"$25,000 to $50,000",Employed full-time,-99,Law,-99,-99,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Getting ahead with some savings,Single,Liberal Party led by Justin Trudeau ,
Female,1961,Alberta,,,0,0,0,,,Toronto Star,0,,,0,,,,,,,,,,,,0,0,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-leaning,,,,,,,,,,,,,,,,,,,,,Not applicable for me,Not applicable for me,Not applicable for me,Not applicable for me,I am already ready or doing it ,Not applicable for me,Not applicable for me,Not applicable for me,Not applicable for me,Not applicable for me,Poor class,"College, CEGEP or other non-university certificate or diploma","Under $25,000",Retired,-99,,,,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Falling behind,Single,I did not vote,
Male,1960,Saskatchewan,CTV News,,,MacLeans,0,The Globe and Mail ,,,,,,,,,,,,,,,CNN,,,The Guardian,,,,,Yes,,,Not sure,,Yes,,,,,,,,,,,,,,,Yes,,,Yes,,,,,Right-leaning,,,Centrist,,Centrist,,,,,,,,,,,,,,,Centrist,,,Left-leaning,,,,,"		When a vaccine will be ready or the virus will have disappeared",Not applicable for me,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,I am already ready or doing it ,"		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",Middle class,Secondary (high) school diploma or equivalency certificate,"$75,000 to $100,000",Employed part-time,-99,"Other, please specify:",-99,Transportation,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Financially stable,Married,NDP led by Jagmeet Singh,
Female,1954,Ontario,,,,,0,The Globe and Mail ,The National Post,Toronto Star,,,,,,,,,,,,,,,,,The Economist,The Wall Street Journal,,,,,,,,Yes,Not sure,Yes,,,,,,,,,,,,,,,,,Yes,Not sure,,,,,,,,Right-leaning,Right-leaning,Right-leaning,,,,,,,,,,,,,,,,,Right-leaning,-99,,,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		In more than 6 months","		In more than 6 months","		In more than 6 months","		In 3-6 months","		In 3-6 months","		In more than 6 months","		In more than 6 months","		In more than 6 months",Lower middle class,"College, CEGEP or other non-university certificate or diploma","$50,000 to $75,000",Self-employed,-99,Hospitality/Service industry,-99,-99,No,Another country,0,0,0,0,Caribbean ,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Just getting by,Divorced,Liberal Party led by Justin Trudeau ,The Ontario Liberal Party led by Kathleen Wynne
Male,1945,Quebec,,The CBC,0,,,,The National Post,Toronto Star,,,,,,,,,,La Presse,Le Devoir,Le Journal de Montreal / Le Journal de Quabec,,,The New York Times,,,,The Huffington Post,,,Not sure,,,,,Not sure,Not sure,,,,,,,,,,Not sure,Not sure,Not sure,,,Not sure,,,,Not sure,,,Right-leaning,,,,,Right-leaning,Right-leaning,,,,,,,,,,Centrist,Left-leaning,Centrist,,,Centrist,,,,Left-leaning,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,Not applicable for me,I am already ready or doing it ,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",Lower middle class,Secondary (high) school diploma or equivalency certificate,"$25,000 to $50,000",Retired,-99,,,,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,French,-99,Getting ahead with some savings,Divorced,Bloc Quebecois led by Yves-Francois Blanchet,
Male,1964,Ontario,CTV News,,,0,The Canadian Public Affairs Channel,The Globe and Mail ,,Toronto Star,,,,,,,,,,,,,CNN,Fox News,,,,,,,Yes,,,,Yes,Yes,,Yes,,,,,,,,,,,,,No,Not sure,,,,,,,None/Impartial,,,,Centrist,Centrist,,Right-leaning,,,,,,,,,,,,,Centrist,Right-leaning,,,,,,,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",I am already ready or doing it ,Not applicable for me,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Not applicable for me,Poor class,Secondary (high) school diploma or equivalency certificate,"Under $25,000",Other,Disabled,,,,Yes,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Just getting by,Common-law,NDP led by Jagmeet Singh,The New Democratic Party led by Andrea Horwath
Female,2001,Ontario,,,0,0,,0,,Toronto Star,,,,,,,,,,,,,,,,,,0,The Huffington Post,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,-99,,,,,,,,,,,,,,,,,,,-99,,Not applicable for me,Not applicable for me,"		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		In 1-3 months",Not applicable for me,"		In 3-6 months","		When a vaccine will be ready or the virus will have disappeared","		In 3-6 months","		In 1-3 months",Middle class,Secondary (high) school diploma or equivalency certificate,"$75,000 to $100,000",Student,-99,,,,No,Canada,0,0,0,0,0,0,0,Chinese,0,0,0,0,0,0,0,-99,English,-99,Financially stable,Single,I did not vote,I did not vote
Male,1946,Ontario,,,0,,The Canadian Public Affairs Channel,,The National Post,Toronto Star,,,,,,,,,,,,,CNN,,,0,,,,,,,,,Not sure,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,-99,,Centrist,Centrist,,,,,,,,,,,,,Centrist,,,,,,,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,Not applicable for me,"		In 1-3 months",Not applicable for me,Not applicable for me,Not applicable for me,Middle class,Bachelor’s degree,"$100,000 to $150,000",Retired,-99,,,,No,Another country,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Financially stable,Married,Conservative Party led by Andrew Scheer,The Progressive Conservative Party led by Doug Ford
Male,1951,NovaScotia,,The CBC,0,,0,,The National Post,,,,,,,,,,The Halifax Herald,,,,CNN,,,0,,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,,,,Yes,,,,,,,,,-99,,,,,-99,,,,,,,,,,-99,,,,-99,,,,,,,,"		When a vaccine will be ready or the virus will have disappeared",Not applicable for me,"		In more than 6 months","		I don't foresee a time when I will be ready to do it again","		In 1-3 months",I am already ready or doing it ,"		In 1-3 months","		In 3-6 months","		When a vaccine will be ready or the virus will have disappeared",Not applicable for me,Working class,"College, CEGEP or other non-university certificate or diploma","$50,000 to $75,000",Employed full-time,-99,"Other, please specify:",-99,Power utility,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Getting ahead with some savings,Married,Conservative Party led by Andrew Scheer,
Male,1956,Quebec,CTV News,The CBC,0,,,,0,,,,,,,,,,,La Presse,Le Devoir,Le Journal de Montreal / Le Journal de Quabec,,Fox News,0,,,,,,Not sure,Not sure,,,,,,,,,,,,,,,,Not sure,Not sure,Not sure,,Yes,,,,,,,None/Impartial,None/Impartial,,,,,,,,,,,,,,,,Left-leaning,Left-leaning,Centrist,,Right-leaning,,,,,,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,I am already ready or doing it ,"		In 1-3 months","		I don't foresee a time when I will be ready to do it again","		When a vaccine will be ready or the virus will have disappeared",Not applicable for me,Poor class,"College, CEGEP or other non-university certificate or diploma","Under $25,000",Employed part-time,-99,Education or Social Services,-99,-99,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,French,-99,Just getting by,Single,Liberal Party led by Justin Trudeau ,
